az;el;distance
148.00;7.00;91
150.00;7.00;96
152.00;7.00;100
154.00;7.00;105
156.00;7.00;119
158.00;7.00;113
160.00;7.00;123
162.00;7.00;127
164.00;7.00;154
166.00;7.00;153
168.00;7.00;135
170.00;7.00;146
172.00;7.00;148
174.00;7.00;147
176.00;7.00;148
178.00;7.00;147
180.00;7.00;143
0.00;8.00;29
2.00;8.00;23
4.00;8.00;23
6.00;8.00;27
8.00;8.00;24
10.00;8.00;32
12.00;8.00;35
14.00;8.00;40
16.00;8.00;35
18.00;8.00;35
20.00;8.00;42
22.00;8.00;44
24.00;8.00;44
26.00;8.00;48
28.00;8.00;49
30.00;8.00;39
32.00;8.00;38
34.00;8.00;43
36.00;8.00;42
38.00;8.00;37
40.00;8.00;42
42.00;8.00;40
44.00;8.00;44
46.00;8.00;47
48.00;8.00;52
50.00;8.00;51
52.00;8.00;56
54.00;8.00;62
56.00;8.00;88
58.00;8.00;87
60.00;8.00;87
62.00;8.00;89
64.00;8.00;85
66.00;8.00;85
68.00;8.00;85
70.00;8.00;86
72.00;8.00;84
74.00;8.00;82
76.00;8.00;81
78.00;8.00;76
80.00;8.00;75
82.00;8.00;73
84.00;8.00;76
86.00;8.00;79
88.00;8.00;83
90.00;8.00;83
92.00;8.00;84
94.00;8.00;84
96.00;8.00;86
98.00;8.00;85
100.00;8.00;84
102.00;8.00;83
104.00;8.00;85
106.00;8.00;87
108.00;8.00;87
110.00;8.00;86
112.00;8.00;87
114.00;8.00;86
116.00;8.00;91
118.00;8.00;87
120.00;8.00;88
122.00;8.00;90
124.00;8.00;91
126.00;8.00;95
128.00;8.00;95
130.00;8.00;102
132.00;8.00;1
134.00;8.00;1
136.00;8.00;74
138.00;8.00;78
140.00;8.00;85
142.00;8.00;81
144.00;8.00;84
146.00;8.00;89
148.00;8.00;91
150.00;8.00;105
152.00;8.00;102
154.00;8.00;104
156.00;8.00;110
158.00;8.00;117
160.00;8.00;130
162.00;8.00;140
164.00;8.00;159
166.00;8.00;154
168.00;8.00;152
170.00;8.00;150
172.00;8.00;156
174.00;8.00;153
176.00;8.00;150
178.00;8.00;149
180.00;8.00;148
0.00;9.00;22
2.00;9.00;25
4.00;9.00;29
6.00;9.00;30
8.00;9.00;27
10.00;9.00;30
12.00;9.00;34
14.00;9.00;35
16.00;9.00;37
18.00;9.00;38
20.00;9.00;43
22.00;9.00;42
24.00;9.00;50
26.00;9.00;43
28.00;9.00;40
30.00;9.00;39
32.00;9.00;40
34.00;9.00;38
36.00;9.00;37
38.00;9.00;42
40.00;9.00;42
42.00;9.00;40
44.00;9.00;43
46.00;9.00;47
48.00;9.00;49
50.00;9.00;49
52.00;9.00;58
54.00;9.00;58
56.00;9.00;76
58.00;9.00;86
60.00;9.00;86
